iter	Passed	Remaining
0	59	58982
1	59	29706
2	59	19939
3	60	15021
4	60	12066
5	60	10099
6	61	8696
7	61	7644
8	61	6826
9	62	6166
10	62	5634
11	63	5194
12	63	4813
13	63	4490
14	64	4206
15	64	3962
16	64	3747
17	65	3553
18	65	3380
19	65	3224
20	66	3081
21	66	2952
22	66	2834
23	66	2724
24	67	2627
25	67	2536
26	67	2449
27	68	2368
28	68	2293
29	68	2224
30	69	2158
31	69	2097
32	69	2047
33	70	1993
34	70	1942
35	70	1894
36	71	1849
37	71	1806
38	71	1764
39	71	1725
40	72	1687
41	72	1651
42	72	1617
43	72	1583
44	73	1553
45	73	1523
46	73	1495
47	74	1470
48	74	1447
49	75	1425
50	75	1400
51	75	1376
52	75	1353
53	76	1331
54	76	1310
55	76	1289
56	76	1270
57	77	1252
58	77	1234
59	77	1216
60	77	1199
61	78	1182
62	78	1166
63	78	1150
64	78	1135
65	79	1121
66	79	1106
67	79	1093
68	80	1079
69	80	1068
70	80	1056
71	81	1044
72	81	1032
73	81	1021
74	81	1009
75	82	1001
76	82	992
77	83	985
78	83	976
79	84	966
80	84	957
81	84	948
82	84	936
83	85	927
84	85	918
85	85	909
86	85	901
87	86	892
88	86	884
89	86	876
90	86	868
91	87	860
92	87	853
93	87	845
94	88	838
95	88	831
96	88	824
97	88	817
98	89	812
99	89	806
100	89	800
101	90	793
102	90	788
103	90	782
104	91	776
105	91	771
106	91	767
107	92	762
108	92	757
109	92	752
110	93	746
111	93	741
112	93	736
113	94	730
114	94	726
115	94	721
116	94	715
117	95	710
118	95	706
119	95	701
120	96	697
121	96	692
122	96	688
123	96	684
124	97	680
125	97	675
126	97	670
127	97	666
128	98	663
129	98	660
130	99	657
131	99	653
132	99	650
133	100	646
134	100	642
135	100	638
136	100	635
137	101	631
138	101	628
139	101	625
140	102	621
141	102	617
142	102	613
143	102	610
144	102	607
145	103	603
146	103	600
147	103	597
148	104	595
149	104	593
150	105	590
151	105	587
152	105	585
153	105	582
154	106	579
155	106	577
156	106	574
157	107	571
158	107	568
159	107	565
160	107	562
161	108	559
162	108	557
163	108	554
164	109	552
165	109	549
166	109	547
167	110	544
168	110	542
169	110	540
170	110	537
171	111	535
172	111	532
173	111	530
174	112	528
175	112	525
176	112	523
177	112	521
178	113	519
179	113	517
180	113	515
181	114	513
182	114	511
183	114	509
184	115	507
185	115	504
186	115	502
187	115	500
188	116	498
189	116	496
190	116	494
191	117	492
192	117	490
193	117	488
194	117	486
195	118	484
196	118	482
197	118	480
198	118	478
199	119	477
200	119	476
201	120	474
202	120	472
203	120	471
204	121	469
205	121	468
206	121	466
